Lv,HP,MP,POW,SPD,DEF,EX,NEXT
1,31,6,4,4,2,0,24
2,34,12,4,7,3,24,36
3,35,16,6,9,4,60,50
4,38,18,7,11,5,110,90
5,40,20,7,15,7,200,180
6,42,22,8,19,9,380,320
7,42,27,9,21,11,700,600
8,44,32,15,21,11,1300,1100
9,45,34,15,28,14,2400,1600
10,47,38,16,32,16,4000,2000
11,50,40,17,36,18,6000,2200
12,52,43,19,36,18,8200,2800
13,54,45,27,43,21,11000,4000
14,59,48,30,48,23,15000,4000
15,63,50,34,48,23,19000,5000
16,65,54,39,55,26,24000,6000
17,69,62,39,57,27,30000,7000
18,72,65,40,60,28,37000,9000
19,79,68,41,66,31,46000,11000
20,83,68,43,69,32,57000,13000
21,87,76,45,73,34,70000,15000
22,91,77,47,77,36,85000,15000
23,99,83,48,79,37,100000,16000
24,106,87,50,82,38,116000,18000
25,113,91,51,82,38,134000,22000
26,125,91,53,85,39,156000,26000
27,138,94,54,93,43,182000,28000
28,143,99,58,93,43,210000,30000
29,152,105,65,99,46,240000,40000
