Lv,HP,MP,POW,SPD,DEF,EX,NEXT
1,32,28,2,22,11,0,100
2,32,28,2,26,13,100,200
3,37,35,2,26,13,300,300
4,37,44,3,28,14,600,600
5,38,48,3,33,16,1200,1200
6,39,48,4,40,19,2400,1800
7,40,50,5,42,20,4200,2200
8,45,52,6,47,22,6400,2600
9,50,58,7,50,23,9000,3000
10,56,63,8,55,25,12000,4000
11,58,69,8,56,25,16000,4000
12,59,71,9,58,26,20000,5000
13,62,75,10,63,28,25000,6000
14,68,80,11,69,31,31000,8000
15,75,86,12,72,32,39000,11000
16,80,94,15,78,35,50000,15000
17,89,96,17,81,36,65000,18000
18,97,105,18,85,38,83000,20000
19,105,114,20,87,39,103000,22000
20,112,121,20,96,43,125000,25000
21,124,124,23,100,45,150000,30000
22,133,126,25,110,50,180000,40000
23,138,137,29,117,53,220000,50000
24,139,144,33,117,53,270000,30000
25,142,149,35,120,54,300000,30000
26,146,158,36,123,55,330000,30000
27,147,165,36,128,57,360000,40000
28,148,170,37,132,59,400000,50000
29,155,171,40,135,60,450000,90000
